OBJECTID_1,OBJECTID,Name,area,D_Name,Shape_Leng,area_1,Shape_Length,Shape_Area
"1","1","08","781",D 4,14203.805827,7.81027624669,5981.30206084776,1831722.48734009
"2","2","24","1787",D 10,22059.3105956,17.8707762777,3980.99272926832,775985.598429936
"3","3","12","1039",D 1,19416.3910065,10.3904774363,3824.09274432205,683019.695941308
"4","4","08","679",D 6,16661.1361898,6.78682722789,5268.44579404837,1070051.92930037
"5","5","01","947",D 7,16541.0953212,9.47452026809,3933.61656157891,801273.006972671
"6","6","09","529",D 8,9655.5546755,5.29280665216,2934.64891377094,534568.036416117
"7","7","02","195",D 3,6508.65281529,1.9474319919,3725.83823383725,631838.998673896
"8","9","01","742",D 9,12784.7751903,7.42307010796,3488.22268252724,601958.393372461
"9","10","02","259",D 2,8214.50196109,2.59009886864,4226.14981799799,929559.714686898
"10","2","01","1787",D 10,22059.3105956,17.8707762777,4775.62685847691,1171696.76376006
"11","2","02","1787",D 10,22059.3105956,17.8707762777,4394.30787449722,758610.200461723
"12","2","03","1787",D 10,22059.3105956,17.8707762777,4726.26303792701,1274919.07389121
"13","2","04","1787",D 10,22059.3105956,17.8707762777,3674.27646707416,809951.535916674
"14","2","05","1787",D 10,22059.3105956,17.8707762777,3503.72343117059,595224.370143432
"15","2","06","1787",D 10,22059.3105956,17.8707762777,3710.34815841956,647609.666454706
"16","2","07","1787",D 10,22059.3105956,17.8707762777,3520.47174998137,734390.21476244
"17","2","10","1787",D 10,22059.3105956,17.8707762777,3078.28331921604,479307.226505319
"18","2","11","1787",D 10,22059.3105956,17.8707762777,4283.55255715873,542316.557470791
"19","2","08","1787",D 10,22059.3105956,17.8707762777,3408.69840302712,600303.514904026
"20","2","09","1787",D 10,22059.3105956,17.8707762777,2637.90680686685,403392.740813984
"21","2","13","1787",D 10,22059.3105956,17.8707762777,4357.65044602622,642027.283439779
"22","2","12","1787",D 10,22059.3105956,17.8707762777,4643.84403728095,672968.953813697
"23","2","14","1787",D 10,22059.3105956,17.8707762777,3203.42952474375,569882.748187407
"24","2","16","1787",D 10,22059.3105956,17.8707762777,3061.05686695094,587003.487003352
"25","2","17","1787",D 10,22059.3105956,17.8707762777,3874.2424764291,607816.150659536
